x,y,z
42.26295853,11.16574955,43.3996315
79.72079468,91.92498016,42.46884155
86.53223419,84.63835144,77.44398499
93.76537323,8.64006805,23.68074036
46.07053757,0.45308045,5.56866121
11.83385372,16.74485016,39.5226326
22.67105103,80.20901489,66.31809235
27.73263359,22.89631844,48.05283737
33.38361359,99.53683472,93.87574768
45.4432106,62.5273819,13.90502453
50.35287094,47.76374054,47.52682495
56.31111145,89.97683716,2.60820723
49.11958694,68.41674805,18.21296883
58.8926239,76.43946838,37.67767334
68.90914917,22.31734467,49.67709732
88.88050842,97.11833191,65.32303619
98.72989655,19.91223526,92.72042084
15.19064236,58.43775558,11.73922157
26.71184731,93.52354431,54.77917099
40.58798599,94.9936142,63.03918457
73.58114624,10.25218678,91.44374847
57.91625214,43.43557739,19.81020737
95.03020477,90.68186188,56.51867294
20.59465599,33.20012283,46.76506805
13.21787453,9.39089394,38.64705658
17.47877884,64.73399353,79.83129883
38.40359116,73.44887543,13.79850197
40.05303574,98.34393311,69.72425079
39.1004982,63.51184845,22.2225647
50.33486938,34.20512772,9.23104572
44.54849625,88.43553925,39.4104805
49.05340958,48.31911469,28.93807983
63.2345314,13.99094391,75.2744751
64.53587341,8.91629791,10.53333378
68.55283356,59.54660797,75.47992706
2.73949623,54.63860703,22.84292221
8.32962513,44.06638718,48.80065918
29.49518204,98.57957458,25.34943008
37.61645889,71.87221527,13.92108917
38.00144577,80.55340576,30.54148483
61.85845184,27.13661766,66.5537796
58.86637115,72.2521286,74.84441376
76.84348297,23.34205246,90.58014679
91.98046875,11.55339527,18.89915848
95.74652863,21.73139572,79.26367188
11.33062172,6.32348108,37.80325699
15.98245716,91.94532013,23.46338463
31.09578323,55.66161346,97.13536835
40.14398193,9.71962929,86.3738327
42.178936,80.41998291,95.01071167
37.60192871,49.18312454,6.90619612
45.76410675,74.76242828,70.94477081
54.89321899,24.81492424,16.16227531
57.90423965,74.71974182,82.96544647
96.0636673,45.45993042,6.32515144
1.59845769,34.81804276,24.33197594
12.5749445,59.65542984,91.44514465
15.61795998,67.74436951,72.92629242
16.25656509,93.35377502,22.40896416
22.74955368,61.81361771,76.91413879
35.39716339,10.64043331,98.87332153
31.23739243,59.28454208,60.11178589
56.65592575,77.17492676,88.5994339
49.81511307,86.97436523,41.11713791
51.82693863,44.35742569,30.42242432
66.03388214,64.48978424,78.74419403
54.56442261,28.89411163,7.66915178
79.87469482,91.18409729,16.51841736
88.79792023,16.33862686,77.2954483
9.18900013,56.82250595,99.85295868
20.70611,73.15415192,59.16658783
49.16115952,19.33654976,47.60175323
54.20557404,79.15287018,88.95795441
